"Repetition","Fold","auc.multiclass","auc.background","auc.dos","auc.probe","auc.r2l","auc.u2r","auc.weighted","acc.overall","acc.background","acc.dos","acc.probe","acc.r2l","acc.u2r"
9,2,0.791,0.983,0.754,0.71,0.899,0.837,0.753,0.788121612066934,0.802845971994908,0.721461167449913,0.710508999104162,0.784815128966342,NA
9,3,0.775,0.987,0.748,0.719,0.938,0.654,0.751,0.794013669573415,0.995393338058115,0.76899853588752,0.741047207063777,0.81484963015306,NA
9,4,0.808,0.982,0.748,0.705,0.923,0.876,0.748,0.793590951932139,0.995042492917847,0.769296806649169,0.728722114451988,0.825565179095713,NA
9,5,0.803,0.987,0.746,0.699,0.923,0.8,0.745,0.788357294367193,0.93254132231405,0.733060988693571,0.694010573879955,0.771255911921056,0.499528524281
10,1,0.827,0.981,0.744,0.7,0.925,0.898,0.744,0.786336866902238,0.851833749073013,0.730768554605621,0.691083508927581,0.764566206805672,0.499528746465598
10,2,0.774,0.986,0.739,0.7,0.908,0.72,0.74,0.788357294367193,0.88000545553737,0.731684305521372,0.708459625858395,0.78342787243716,NA
10,3,0.791,0.986,0.744,0.707,0.906,0.715,0.745,0.78995756718529,0.839254022716517,0.733680814097791,0.6931373253822,0.808210259115184,NA
10,4,0.775,0.99,0.755,0.72,0.918,0.566,0.756,0.794769085768143,0.995745686598913,0.768094781411674,0.7403659405837,0.804975426583467,NA
10,5,0.803,0.984,0.763,0.721,0.923,0.747,0.763,0.795192081074711,0.994808872109486,0.766063566658422,0.739744266660545,0.813589292004227,NA
11,1,0.802,0.98,0.739,0.695,0.927,0.827,0.739,0.790900518623291,0.883927868336089,0.733910891089109,0.702338354925623,0.836726346658435,NA
11,2,0.848,0.994,0.757,0.717,0.886,0.973,0.757,0.785293424463823,0.945275218521143,0.713364011039454,0.689464997427243,0.761890394920521,NA
11,3,0.757,0.985,0.758,0.714,0.914,0.569,0.757,0.792884071630537,0.929077007960905,0.748434957716197,0.730245620799341,0.764514720661647,0.499528635399482
