"Repetition","Fold","auc.multiclass","auc.background","auc.botnet","auc.dos","auc.scan","auc.spam","auc.weighted","acc.overall","acc.background","acc.botnet","acc.dos","acc.scan","acc.spam"
15,3,0.973,0.959,0.999,0.969,0.999,0.963,0.961,0.896292585170341,0.904460539106538,0.998732894069944,0.99645928174001,0.999243951612903,0.909981125355737
16,1,0.976,0.96,0.997,0.985,0.997,0.962,0.962,0.888833249874812,0.895660528118104,0.999239350912779,0.996712190187152,0.999495713565305,0.901475009333429
15,5,0.991,0.965,1,0.998,1,0.965,0.966,0.906312625250501,0.913665663764413,0.999492385786802,0.997465788139889,0.944444444444444,0.915522014631095
16,3,0.982,0.957,1,0.984,1,0.957,0.958,0.892785571142285,0.898226391338505,0.99923896499239,0.997718052738337,0.936994949494949,0.897861662198391
16,4,0.986,0.963,1,0.991,1,0.963,0.964,0.903355032548823,0.908819444444444,0.998733535967579,0.996962025316456,1,0.912107303514611
16,5,0.982,0.964,0.999,0.992,0.999,0.967,0.966,0.907361041562344,0.915842916487246,0.981634985126605,0.996712190187152,0.963781427851019,0.921094860391546
17,2,0.989,0.956,1,1,1,0.956,0.957,0.890225563909774,0.897587489322835,0.99974593495935,0.997212366953877,0.957324760463943,0.901092657342657
17,1,0.975,0.961,0.997,0.974,1,0.964,0.963,0.901352028042063,0.909419435271919,0.978985801217038,0.997215189873418,0.966162125798856,0.913282118922778
18,2,0.98,0.957,0.991,0.998,1,0.96,0.96,0.897795591182365,0.902932692307692,0.998732894069944,0.997465788139889,1,0.905205061589567
18,1,0.985,0.958,0.999,0.982,1,0.96,0.96,0.908270676691729,0.913319109740968,0.999492127983748,0.997464503042596,1,0.91459567136858
17,4,0.985,0.961,0.997,0.997,1,0.963,0.963,0.903807615230461,0.91180472315101,0.998985801217039,0.996962025316456,1,0.912797959792724
17,5,0.983,0.971,1,0.97,0.999,0.973,0.972,0.912456228114057,0.918088235294118,0.983333333333333,0.99746835443038,0.966162634408602,0.922102939430249
17,3,0.975,0.961,0.996,0.989,0.993,0.964,0.963,0.897294589178357,0.902722155539487,0.998985801217039,0.995707070707071,0.99949545913219,0.908373336025839
18,3,0.987,0.968,1,0.988,1,0.969,0.969,0.901803607214429,0.909379217273954,0.999492385786802,0.99645928174001,0.968497474747475,0.913633526944562
18,4,0.963,0.958,1,0.979,0.974,0.96,0.96,0.885828743114672,0.896032313913893,0.978985801217038,0.997467071935157,0.963529284633672,0.89976598460954
18,5,0.984,0.966,1,0.984,0.999,0.968,0.968,0.905452726363182,0.913375422726178,0.982504813583056,0.996462860030318,0.927563871896366,0.917656129696435
19,1,0.982,0.959,1,0.998,0.994,0.96,0.961,0.894894894894895,0.900109557595993,0.982504684681529,0.997720364741641,0.963529665898618,0.902805623109318
19,4,0.986,0.957,1,0.986,1,0.958,0.959,0.898848272408613,0.904737129763932,0.999746192893401,0.997465788139889,0.999747729566095,0.908240122235499
19,2,0.98,0.96,0.999,0.975,1,0.962,0.962,0.895290581162325,0.90201374831309,0.99923896499239,0.996962025316456,0.970588235294118,0.906302648839804
19,3,0.977,0.961,0.997,0.991,0.999,0.965,0.964,0.897294589178357,0.90885709419179,0.998480243161094,0.995456839979808,0.999243570347958,0.913320044684906
20,4,0.989,0.969,1,0.998,0.999,0.97,0.971,0.911367050575864,0.917381025541335,0.999746192893401,0.996712190187152,0.9684976022211,0.920819992022165
20,3,0.977,0.958,0.998,0.966,1,0.961,0.96,0.895290581162325,0.902660533330239,0.980007809449434,0.997465788139889,0.9997476022211,0.905495051396691
20,2,0.989,0.966,1,0.994,1,0.968,0.968,0.902756892230576,0.910019698350631,0.99974593495935,0.997464503042596,0.941176470588235,0.910185132861844
20,1,0.978,0.953,0.993,0.988,1,0.953,0.955,0.893340010015023,0.901653919895498,0.98000819576162,0.99645928174001,0.999243951612903,0.90470773785973
20,5,0.976,0.96,0.997,0.984,0.994,0.963,0.962,0.897897897897898,0.904374583204247,0.998986315255955,0.997216599190283,0.963529665898618,0.909913094009384
19,5,0.986,0.971,0.997,0.994,1,0.972,0.972,0.913827655310621,0.922621145004866,0.97898528665652,0.996710526315789,0.941176470588235,0.924154385509316
