"Repetition","Fold","auc.multiclass","auc.background","auc.exploit","auc.fuzzer","auc.generic","auc.weighted","acc.overall","acc.background","acc.exploit","acc.fuzzer","acc.generic"
11,1,0.979,1,0.985,0.974,1,0.995,0.933797909407665,0.99609375,0.882130035899481,0.865384615384615,1
8,4,0.977,1,0.985,0.967,1,0.994,0.947552447552448,0.996875,0.912896174863388,0.854356091916019,1
9,1,0.964,1,0.981,0.939,1,0.991,0.916376306620209,0.992937992125984,0.874193548387097,0.785573122529644,0.981012658227848
10,5,0.976,1,0.984,0.966,1,0.994,0.947916666666667,0.99609375,0.909722222222222,0.972924187725632,0.993506493506493
13,3,0.969,1,0.977,0.962,1,0.992,0.9375,1,0.89025389025389,0.882352941176471,0.987179487179487
9,3,0.974,1,0.982,0.962,0.999,0.993,0.934256055363322,0.992248062015504,0.935314685314685,0.86229566453447,0.958333333333333
9,2,0.98,1,0.987,0.972,1,0.995,0.937282229965157,0.99609375,0.889736567553469,0.925559947299078,0.993506493506493
14,1,0.978,1,0.982,0.976,1,0.994,0.937716262975779,0.992307692307692,0.891723813365604,0.909610705596107,0.993506493506493
11,3,0.978,1,0.983,0.975,1,0.994,0.927083333333333,0.996124031007752,0.890012277027515,0.860212719774257,0.969135802469136
9,4,0.977,1,0.983,0.972,1,0.994,0.926829268292683,0.99294909591195,0.885448028673835,0.860130718954248,0.975
10,1,0.977,1,0.986,0.966,1,0.994,0.926573426573427,0.988461538461539,0.89543044874188,0.786882300089847,1
14,3,0.978,1,0.982,0.975,0.998,0.994,0.912891986062718,0.992937992125984,0.870526532291238,0.845909090909091,0.960975609756098
14,5,0.978,1,0.985,0.966,1,0.994,0.934027777777778,0.992248062015504,0.893119266055046,0.895804195804196,0.991062562065541
9,5,0.978,1,0.986,0.968,1,0.994,0.944250871080139,1,0.895391705069124,0.915359778597786,0.995305164319249
10,4,0.974,1,0.987,0.954,1,0.993,0.940972222222222,0.9890625,0.920175438596491,0.862225789192081,0.987341772151899
10,2,0.982,1,0.987,0.976,0.999,0.995,0.944444444444444,0.996894409937888,0.899104303238788,0.976363636363636,0.984643318766542
11,2,0.984,1,0.991,0.975,1,0.996,0.937062937062937,0.996875,0.896380090497737,0.860048108462716,0.987179487179487
10,3,0.972,1,0.979,0.965,1,0.993,0.930313588850174,1,0.890554932735426,0.851014760147601,0.975
15,1,0.984,1,0.989,0.979,1,0.996,0.9375,1,0.891701409569188,0.931159420289855,0.98125
18,5,0.975,1,0.981,0.967,0.999,0.993,0.941176470588235,0.989896776706593,0.898978919631094,0.920955882352941,0.991148002940456
19,5,0.977,1,0.986,0.967,1,0.994,0.947735191637631,1,0.912906390134529,0.896220570012392,0.987179487179487
15,2,0.98,1,0.99,0.967,1,0.995,0.951219512195122,0.992307692307692,0.919717537364596,0.911274509803922,1
16,2,0.986,1,0.994,0.975,1,0.997,0.958333333333333,0.99609375,0.923110690889444,0.948529411764706,1
