"Repetition","Fold","auc.multiclass","auc.background","auc.dos","auc.exploit","auc.fuzzer","auc.generic","auc.reconnaissance","auc.shellcode","auc.weighted","acc.overall","acc.background","acc.dos","acc.exploit","acc.fuzzer","acc.generic","acc.reconnaissance","acc.shellcode"
8,3,0.846,0.992,0.923,0.935,0.948,0.996,0.914,0.726,0.977,0.864864864864865,0.950978890919937,0.778418688230009,0.788081954020689,0.820766596417281,0.982168069067648,NA,NA
10,4,0.876,0.991,0.923,0.931,0.951,0.996,0.924,0.954,0.977,0.86229344016024,0.950598446755018,0.875186735493795,0.778626204289864,0.81677528896849,0.982386534612013,0.989105935386927,NA
5,3,0.843,0.992,0.929,0.934,0.944,0.995,0.898,0.875,0.977,0.860505885299274,0.945208650928208,0.770230607966457,0.784568889821791,0.820617585025046,0.979911132852309,0.73910047607116,NA
8,4,0.862,0.993,0.933,0.932,0.957,0.996,0.924,0.903,0.978,0.86229344016024,0.953170899306546,0.671007132051005,0.783744096347607,0.822751584786054,0.979107663360306,0.488980716253444,NA
10,1,0.838,0.993,0.92,0.938,0.954,0.997,0.922,0.719,0.979,0.868118118118118,0.954010731054763,0.792706237424547,0.788700465066931,0.835481505451547,0.981148793238887,NA,NA
9,4,0.837,0.992,0.912,0.935,0.95,0.997,0.91,0.706,0.977,0.864797195793691,0.952262618130683,0.658858102434929,0.790257367606465,0.814869958629884,0.98107425595759,0.989105935386927,NA
8,5,0.844,0.989,0.904,0.927,0.948,0.996,0.9,0.825,0.975,0.858216432865731,0.941103116210761,0.817824773413897,0.777425741340449,0.845871710526316,0.979511716102902,NA,NA
9,5,0.856,0.991,0.921,0.932,0.948,0.995,0.916,0.896,0.976,0.858466933867735,0.947156824291359,0.781527599984484,0.778202584705707,0.812031401605363,0.980327852683283,0.98910047607116,NA
5,4,0.863,0.991,0.915,0.933,0.957,0.997,0.92,0.938,0.978,0.867083854818523,0.949791423088654,0.725418760469012,0.788168753782634,0.836042199711719,0.983719110750116,0.989108662994492,NA
10,5,0.866,0.991,0.924,0.929,0.953,0.996,0.914,0.884,0.977,0.861041562343515,0.949265852487077,0.76365449202351,0.783158393117948,0.807707520638665,0.980269405105707,NA,NA
5,5,0.836,0.99,0.927,0.929,0.954,0.996,0.895,0.709,0.976,0.85678517776665,0.94149598557002,0.702727573651109,0.777445992485911,0.826150189933823,0.981186345702639,0.989105935386927,NA
17,1,0.851,0.991,0.897,0.927,0.945,0.997,0.9,0.926,0.975,0.8542814221332,0.943157515287382,0.676285998013903,0.776789577521182,0.790271526845122,0.982102138465593,0.488980716253444,NA
17,4,0.837,0.99,0.942,0.933,0.947,0.996,0.919,0.607,0.977,0.862509391435011,0.949427684397885,0.782050433078166,0.785930472781684,0.816117698726394,0.980734266875571,NA,NA
16,4,0.86,0.991,0.924,0.934,0.952,0.996,0.9,0.9,0.977,0.865013774104683,0.949855465355427,0.784611992945326,0.788623226903045,0.811515259704286,0.983046278126012,NA,NA
17,2,0.855,0.992,0.911,0.932,0.954,0.997,0.915,0.898,0.978,0.862043064596895,0.945759856973092,0.86770990447461,0.783133934120572,0.819562769190828,0.981142037574076,0.655767142737827,NA
12,2,0.842,0.992,0.927,0.93,0.952,0.996,0.897,0.73,0.976,0.86229344016024,0.949099383443901,0.729169149288315,0.783328277097922,0.82852612735943,0.980599372171183,NA,NA
14,2,0.835,0.991,0.924,0.931,0.96,0.995,0.908,0.634,0.977,0.86129193790686,0.946380338947257,0.808368090036412,0.780363783434471,0.827165472716017,0.980641010516749,0.488980716253444,NA
6,5,0.861,0.992,0.906,0.934,0.947,0.996,0.922,0.932,0.977,0.863329161451815,0.950899122807018,0.816113624937154,0.785545784859649,0.826744264507422,0.978704799484733,NA,NA
5,2,0.861,0.993,0.93,0.936,0.954,0.997,0.93,0.749,0.979,0.873059589384076,0.958884215343951,0.813765254845657,0.795938529596861,0.832000078426759,0.982444688623741,NA,NA
10,2,0.813,0.992,0.901,0.934,0.947,0.997,0.898,0.618,0.977,0.866265965439519,0.950109793588054,0.798008385744235,0.793008148345759,0.816948000453155,0.982225294695561,0.488977955911824,NA
