"Repetition","Fold","auc.multiclass","auc.background","auc.dos","auc.exploit","auc.fuzzer","auc.generic","auc.reconnaissance","auc.weighted","acc.overall","acc.background","acc.dos","acc.exploit","acc.fuzzer","acc.generic","acc.reconnaissance"
10,2,0.885,0.994,0.941,0.935,0.953,0.998,0.8,0.979,0.878439219609805,0.958909643843286,0.746477101157524,0.791785878014583,0.775428016985049,0.992794329782512,0.659642080615488
10,3,0.918,0.992,0.978,0.934,0.963,0.997,0.924,0.981,0.8825,0.948118079003166,0.723501988207871,0.804899967588909,0.822667250665109,0.993196420412975,0.576312270143765
10,4,0.914,0.995,0.972,0.944,0.968,0.999,0.881,0.984,0.883,0.948832209920438,0.729806884970613,0.807675557974959,0.826387248869941,0.988675698574963,0.992996498249125
10,5,0.891,0.994,0.887,0.934,0.955,0.998,0.9,0.98,0.889444722361181,0.96298051253252,0.74597787833082,0.811557402277624,0.838906703313483,0.986946615276506,0.492728184553661
11,1,0.92,0.995,0.995,0.934,0.962,0.999,0.902,0.983,0.885557221389305,0.958158476126045,0.829323308270677,0.804273293334089,0.816822487332678,0.989473717885829,0.4925
11,2,0.892,0.994,0.904,0.939,0.974,0.996,0.847,0.981,0.886,0.949293568855898,0.629051217464316,0.807818198491806,0.860017756732761,0.992532409788805,NA
11,3,0.907,0.994,0.977,0.933,0.955,0.998,0.879,0.981,0.882882882882883,0.95739367530515,0.732265344300264,0.803675001928797,0.826517762460233,0.986921306328431,0.492724535875564
11,4,0.894,0.994,0.933,0.94,0.956,0.999,0.853,0.981,0.883058470764618,0.95681686307194,0.655553769121227,0.806937373489542,0.832694538023969,0.987767970538638,NA
11,5,0.907,0.994,0.982,0.94,0.963,1,0.874,0.983,0.886886886886887,0.956283322905125,0.595233316608129,0.816476613959272,0.802372600604112,0.992163719071508,0.492731829573935
12,1,0.901,0.995,0.948,0.941,0.964,0.999,0.847,0.983,0.88655672163918,0.956043276498134,0.808485950827898,0.816848829083872,0.797393659312264,0.990457695731423,0.492496248124062
12,2,0.902,0.995,0.904,0.942,0.954,0.998,0.903,0.982,0.888388388388388,0.958725279076724,0.746723790322581,0.811766975243074,0.837271425553391,0.988523188008077,0.492728184553661
12,3,0.905,0.992,0.961,0.927,0.946,0.999,0.925,0.979,0.872063968015992,0.951078099403847,0.677798081315669,0.784447875356966,0.788448631172956,0.989237119313914,0.826326326326326
12,4,0.911,0.995,0.967,0.938,0.964,0.999,0.883,0.983,0.886943471735868,0.962304389973688,0.672686531726717,0.805621146981781,0.831371734514908,0.989735600225837,0.576308747282154
12,5,0.895,0.993,0.916,0.939,0.969,0.998,0.868,0.981,0.880440220110055,0.94527061580185,0.638826916156891,0.802985104363639,0.845178949958362,0.99039795872689,0.492742742742743
13,1,0.919,0.996,0.984,0.933,0.962,0.999,0.92,0.983,0.88655672163918,0.956358295475656,0.745985950827898,0.807334579047553,0.832799006956662,0.989746260882506,0.492488733099649
13,2,0.897,0.994,0.964,0.933,0.956,0.997,0.85,0.98,0.8865,0.958458948689572,0.745732931726908,0.808726725597141,0.821542070217918,0.988935488270595,0.492742742742743
13,3,0.893,0.993,0.972,0.933,0.942,0.999,0.847,0.979,0.8795,0.950942896431779,0.688281522202005,0.794303603485266,0.814380628157259,0.992532409788805,0.742992992992993
13,4,0.907,0.996,0.954,0.939,0.969,0.999,0.88,0.984,0.8865,0.953978034120179,0.732268399038889,0.813770330789923,0.824189493531661,0.990046689303905,0.492492492492492
13,5,0.918,0.993,0.992,0.94,0.971,0.999,0.881,0.983,0.885828743114672,0.95180606957809,0.774005141962888,0.809262201728787,0.831354248486809,0.989851318852487,0.492735470941884
14,1,0.9,0.994,0.938,0.937,0.953,0.998,0.907,0.981,0.874437218609305,0.953130817594097,0.550781686208822,0.792019334495063,0.801607799339197,0.989862216288385,0.555217227523857
14,2,0.911,0.994,0.987,0.938,0.955,0.999,0.864,0.982,0.887112887112887,0.956797802311719,0.814665996986439,0.805776689120229,0.829091847265222,0.991216336721955,0.492503748125937
14,3,0.896,0.997,0.947,0.948,0.965,0.999,0.842,0.985,0.887387387387387,0.965496984997484,0.652465943491423,0.808480591497227,0.836954078957225,0.986445144145955,0.492731829573935
14,4,0.898,0.993,0.967,0.936,0.962,0.998,0.819,0.98,0.8785,0.951210782152264,0.645477386934673,0.796690313374285,0.831407597675922,0.987376662376662,0.592982456140351
14,5,0.913,0.994,0.966,0.933,0.965,1,0.92,0.982,0.886943471735868,0.952458395091444,0.769206145966709,0.811490021206322,0.825611220039214,0.992528548193529,0.576308747282154
15,1,0.913,0.993,0.962,0.935,0.965,0.999,0.893,0.982,0.882441220610305,0.953513561447737,0.662886424731183,0.804003435137673,0.82452508004269,0.989463509406379,0.492739108662994
15,2,0.891,0.994,0.93,0.94,0.957,0.999,0.858,0.981,0.881,0.958943670358461,0.661902373788031,0.800402565633608,0.801645658263305,0.986951780632464,0.992996498249125
15,3,0.909,0.995,0.97,0.938,0.961,0.999,0.895,0.983,0.8765,0.951405883445005,0.606590769574195,0.794898555564833,0.811502093450871,0.989741748450757,0.564403985377392
15,4,0.917,0.995,0.967,0.942,0.97,1,0.89,0.984,0.895447723861931,0.963948582982136,0.719193448875428,0.817588956563552,0.852245559265772,0.991865073024192,0.492492492492492
15,5,0.899,0.994,0.928,0.939,0.962,0.998,0.861,0.981,0.8795,0.956653452810387,0.652217741935484,0.802199380451366,0.799113475177305,0.988534102914822,0.492492492492492
16,1,0.892,0.994,0.893,0.94,0.965,0.999,0.883,0.983,0.883941970985493,0.950122127352279,0.846732026143791,0.80349167681689,0.814371326020474,0.993593842926848,0.659652638610554
16,2,0.914,0.994,0.985,0.942,0.948,0.997,0.903,0.982,0.884442221110555,0.954106938406486,0.66264049656098,0.805945073687866,0.832491881469454,0.991727909795486,0.492735470941884
16,3,0.892,0.995,0.941,0.939,0.963,0.999,0.836,0.982,0.880440220110055,0.956679060516615,0.674793091039942,0.803272137012155,0.808040247392227,0.990134125426092,0.492717227523857
16,4,0.915,0.992,0.983,0.927,0.963,0.998,0.894,0.98,0.88011988011988,0.950025680859165,0.690916218637993,0.798052674957867,0.832617342134481,0.991476016799293,0.592739108662995
16,5,0.906,0.995,0.961,0.94,0.966,0.999,0.845,0.983,0.885942971485743,0.957359679630382,0.746722138174483,0.811888824369721,0.824447365433155,0.988127568721644,0.492477432296891
17,1,0.908,0.994,0.961,0.933,0.966,0.999,0.891,0.982,0.877,0.948823034888609,0.687444356216463,0.796668851084839,0.81635365977906,0.990535208682186,0.492742742742743
17,2,0.903,0.994,0.978,0.937,0.958,0.999,0.857,0.982,0.884942471235618,0.950978626510541,0.74647355163728,0.810682239125353,0.835719560601865,0.989479710718649,0.492735470941884
17,3,0.907,0.993,0.971,0.935,0.953,0.998,0.874,0.98,0.887056471764118,0.953923290879813,0.704311211664153,0.806726459681277,0.852393978986336,0.990005834454798,0.492496248124062
17,4,0.897,0.995,0.965,0.937,0.964,0.997,0.825,0.981,0.875875875875876,0.950884409446146,0.745979899497487,0.796935316825158,0.809289864915855,0.986389705466221,0.492720883534137
17,5,0.897,0.996,0.918,0.945,0.957,0.999,0.87,0.983,0.894,0.9648,0.746727089627392,0.82297443504651,0.820612679348739,0.991207212957791,0.576061517886994
18,1,0.886,0.995,0.917,0.939,0.969,1,0.812,0.982,0.885942971485743,0.954839074769835,0.696471774193548,0.813532620255309,0.821879903997046,0.98932849679929,0.492739108662994
18,2,0.917,0.995,0.986,0.942,0.965,0.999,0.896,0.984,0.8875,0.957246818821058,0.688281522202005,0.814610961832943,0.815152417833383,0.991467436855092,0.492739108662994
18,3,0.908,0.994,0.973,0.938,0.96,0.999,0.912,0.983,0.8825,0.951157267030524,0.494984954864594,0.805335225849545,0.830908358763627,0.99267382908862,0.492481203007519
18,4,0.898,0.994,0.964,0.935,0.958,0.998,0.877,0.981,0.875062468765617,0.950897184117968,0.6199924887331,0.792861179224816,0.797927214328488,0.991488202685238,0.492728184553661
18,5,0.901,0.992,0.908,0.935,0.962,0.998,0.903,0.98,0.881381381381381,0.955528142421954,0.775252525252525,0.799677938252513,0.820468767460051,0.986522368499944,0.617728184553661
19,1,0.899,0.994,0.94,0.938,0.954,0.997,0.858,0.98,0.8905,0.956955154220779,0.76920791626674,0.815443724979177,0.848169177107284,0.989740112657586,0.492492492492492
19,2,0.899,0.994,0.937,0.932,0.96,0.999,0.885,0.981,0.87,0.940604799131811,0.730058774139379,0.786283909082247,0.824357920288153,0.989483914323143,0.492469879518072
19,3,0.917,0.996,0.969,0.948,0.96,0.998,0.925,0.985,0.8865,0.956955154220779,0.638090459465271,0.81129883266355,0.841036690533341,0.990294613760256,0.492720883534137
19,4,0.911,0.994,0.977,0.933,0.964,0.999,0.891,0.982,0.876938469234617,0.954014980892152,0.732014602006292,0.793500140518513,0.798258906346891,0.986800790417783,NA
19,5,0.897,0.994,0.966,0.939,0.96,0.999,0.848,0.982,0.886943471735868,0.955438100035558,0.745981918633852,0.808087338794155,0.828545726088893,0.990134125426092,0.492742742742743
20,1,0.903,0.994,0.978,0.934,0.958,0.998,0.834,0.98,0.882,0.960091206073859,0.719194977015361,0.80488746690203,0.802389526961261,0.985866317090656,0.492492492492492
20,2,0.907,0.991,0.96,0.933,0.97,0.999,0.869,0.981,0.8825,0.953026481715006,0.691164928803678,0.8053101480113,0.838915675866443,0.986546870409714,0.659405775329661
20,3,0.893,0.996,0.892,0.941,0.961,0.999,0.857,0.982,0.888944472236118,0.958774947431533,0.778224281391831,0.814567378627134,0.817339441293296,0.990134125426092,0.492735470941884
20,4,0.911,0.995,0.977,0.945,0.967,0.999,0.864,0.984,0.892446223111556,0.955896290278906,0.769206145966709,0.820819197422981,0.826261923688394,0.994927169756564,0.492739108662994
20,5,0.909,0.993,0.963,0.939,0.964,0.996,0.912,0.981,0.8825,0.950886917960089,0.677544677544678,0.805548599752433,0.821415422465359,0.990805606532089,0.492742742742743
