"Repetition","Fold","auc.multiclass","auc.background","auc.dos","auc.exploit","auc.fuzzer","auc.generic","auc.reconnaissance","auc.shellcode","auc.weighted","acc.overall","acc.background","acc.dos","acc.exploit","acc.fuzzer","acc.generic","acc.reconnaissance","acc.shellcode"
9,1,0.838,0.986,0.844,0.908,0.955,0.994,0.888,0.666,0.969,0.840260390585879,0.925320255058497,0.616353383458647,0.758806336116202,0.813201892459927,0.977429024619997,0.488847117794486,NA
9,2,0.832,0.983,0.899,0.896,0.959,0.996,0.887,0.642,0.967,0.839549436795995,0.923003623334564,0.616230268103232,0.757413338785153,0.81251489767426,0.974706789054476,0.7392257579554,NA
9,3,0.851,0.984,0.87,0.901,0.964,0.995,0.891,0.792,0.968,0.838297872340426,0.924042553191489,0.634331566126952,0.749533278144654,0.81331554351191,0.976370509621741,0.488983475212819,NA
9,4,0.838,0.986,0.881,0.911,0.958,0.996,0.851,0.738,0.97,0.842013019529294,0.92644472818245,0.658022216654139,0.761856012323795,0.806957488144019,0.97647561748377,0.488980716253444,NA
9,5,0.781,0.985,0.906,0.898,0.953,0.992,0.9,0.302,0.967,0.830911823647295,0.918820852894543,0.741474423269809,0.746512837062536,0.79638683666578,0.973490524142865,0.655878909516642,NA
10,1,0.828,0.985,0.869,0.906,0.965,0.995,0.893,0.569,0.969,0.846096096096096,0.921447200987479,0.691480831871711,0.772464985893597,0.836518859626429,0.978411685870269,0.572431077694236,NA
10,2,0.79,0.985,0.879,0.908,0.951,0.994,0.818,0.496,0.967,0.840220385674931,0.924252419442531,0.553825119436761,0.766759058834984,0.819460327406595,0.973922193681867,0.589092276830491,0.49974924774323
10,3,0.813,0.984,0.904,0.9,0.963,0.994,0.875,0.514,0.968,0.832456799398948,0.9183488010178,0.591349047141424,0.743434099562927,0.822992339752116,0.973217686839254,0.711554551539491,NA
10,4,0.846,0.985,0.907,0.908,0.953,0.994,0.903,0.703,0.969,0.835503254882323,0.926543452655937,0.602579116129932,0.75068577717629,0.78574219658557,0.976360480069527,NA,0.499624342599549
10,5,0.837,0.984,0.886,0.894,0.961,0.994,0.888,0.73,0.967,0.837756634952429,0.927644016990367,0.741357715430862,0.751935218350881,0.796216458837818,0.973293038880934,0.73922305764411,NA
11,1,0.815,0.983,0.827,0.908,0.956,0.994,0.879,0.585,0.967,0.838968194340095,0.923741728286347,0.568380363355238,0.758951101411717,0.821532503708401,0.973922193681867,0.488849912302681,0.499749498997996
11,2,0.815,0.985,0.89,0.903,0.954,0.995,0.849,0.573,0.968,0.827620715536653,0.918356143765515,0.645437519308001,0.741101765882879,0.790307184326244,0.973394472495612,0.488983475212819,NA
11,3,0.843,0.985,0.886,0.898,0.95,0.993,0.886,0.829,0.967,0.834168336673347,0.923250782806718,0.616349047141424,0.743858002441096,0.785507802576174,0.979798300566799,0.676832329317269,NA
11,4,0.81,0.987,0.888,0.906,0.95,0.994,0.902,0.423,0.969,0.841762643965949,0.928503646378111,0.627952890694543,0.764298075899038,0.801841400042902,0.974828627549625,0.614097744360902,0.499624342599549
11,5,0.819,0.983,0.9,0.9,0.967,0.995,0.863,0.599,0.967,0.844516775162744,0.926773320204182,0.609349346980432,0.763869988915471,0.844624457970323,0.97318163761548,0.488966900702106,0.499624342599549
12,1,0.851,0.984,0.875,0.899,0.957,0.995,0.877,0.777,0.967,0.831497245868803,0.918346822352701,0.616228070175439,0.750119368809684,0.793642802672242,0.973731576102672,0.488980716253444,NA
12,2,0.801,0.984,0.906,0.904,0.955,0.993,0.855,0.537,0.967,0.839509263895844,0.928744072974842,0.634802775880047,0.760443934949481,0.796396750202499,0.974873169777825,0.572425610163825,NA
12,3,0.827,0.986,0.847,0.904,0.951,0.994,0.89,0.729,0.968,0.831997996995493,0.918617704813884,0.612745140670522,0.745135270042761,0.815819910969474,0.975335884803015,0.789345700676861,NA
12,4,0.817,0.984,0.903,0.9,0.961,0.994,0.869,0.53,0.967,0.837628221165874,0.925366753259928,0.616359879789632,0.748003720339367,0.822879544644094,0.974187220883468,NA,NA
12,5,0.831,0.985,0.877,0.909,0.955,0.995,0.901,0.569,0.97,0.843397644700576,0.930925872850443,NA,0.759620793748463,0.798002292779973,0.977340487250122,0.864340356157512,NA
13,1,0.85,0.985,0.908,0.901,0.946,0.988,0.899,0.738,0.966,0.841182364729459,0.931516132901523,0.777433231761965,0.760342278289867,0.782792045577685,0.976128751032394,0.621133440195,0.499749436231521
13,2,0.834,0.987,0.905,0.911,0.954,0.995,0.888,0.614,0.971,0.842223891810669,0.926320013670044,0.741355549987472,0.759988247587629,0.817226331278184,0.97596126098048,0.73910047607116,NA
