,AUC_Background,AUC_Botnet,AUC_DoS,AUC_SSHscan,AUC_Scan,AUC_Spam,AUC_UDPscan,AUC_w,F1_score_Background,F1_score_Botnet,F1_score_DoS,F1_score_SSHscan,F1_score_Scan,F1_score_Spam,F1_score_UDPscan,F1_score_w,Kfold,Num. Obs. Background,Num. Obs. Botnet,Num. Obs. Dos,Num. Obs. SSHscan,Num. Obs. Scan,Num. Obs. Spam,Num. Obs. UDPscan,Num. Vars.,Precision-Background,Precision-Botnet,Precision-DoS,Precision-SSHscan,Precision-Scan,Precision-Spam,Precision-UDPscan,Precision-w,Recall-Background,Recall-Botnet,Recall-DoS,Recall-SSHscan,Recall-Scan,Recall-Spam,Recall-UDPscan,Recall-w,Rep.,Time,Total Obs.,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1
309,0.8164743224081187,0.9422879786508206,0.8602676573398211,0.5,0.8887630869012174,0.8155225278405727,0.6666666666666666,0.8183020506851358,0.851027579597487,0.925925925925926,0.803347280334728,0.0,0.8596491228070176,0.7765542944265628,0.5,0.8193902640994214,4,4484,113,133,19,63,3194,6,80,0.814346851436723,0.9708737864077672,0.9056603773584906,0.0,0.9607843137254902,0.8460686600221484,1.0,0.8300755818485358,0.8911685994647636,0.8849557522123894,0.7218045112781954,0.0,0.7777777777777778,0.7175954915466499,0.3333333333333333,0.8156515227159261,15,24496.083043813705,8012,133.0,0.0,
310,0.8219411017454856,0.951200835324736,0.9018114202882508,0.5,0.9205091186472492,0.8109862748568885,0.5833333333333334,0.8205557600954155,0.8546387345019238,0.9400921658986174,0.8663967611336033,0.0,0.8983050847457628,0.7705642420122365,0.2857142857142857,0.8204132506895022,2,4484,113,133,19,63,3194,6,88,0.8206075533661741,0.9807692307692308,0.9385964912280702,0.0,0.9636363636363636,0.8427509293680298,1.0,0.8329655622834197,0.8916146297948261,0.9026548672566372,0.8045112781954887,0.0,0.8412698412698413,0.7097683155917345,0.16666666666666666,0.8147778332501248,8,26676.928159713745,8012,134.0,0.0,
311,0.8202684880077513,0.9469026548672566,0.9132799952667556,0.5,0.9046990037680692,0.811276541526725,0.7142857142857143,0.8198267815688288,0.8527994861363879,0.9439252336448598,0.8906882591093117,0.0,0.8869565217391304,0.7710761953032608,0.6,0.8201700621782138,3,4484,113,133,19,63,3193,7,87,0.8200535309862055,1.0,0.9649122807017544,0.0,0.9807692307692308,0.8371239911958914,1.0,0.8312754283203222,0.8882694023193577,0.8938053097345132,0.8270676691729323,0.0,0.8095238095238095,0.7146883808330724,0.42857142857142855,0.8150274588117823,11,28156.73525691032,8012,135.0,0.0,
312,0.821267785285625,0.9556256301108996,0.9056977787107362,0.5,0.8887631027253668,0.8052578806781703,0.7142857142857143,0.8178577307312588,0.8541822454865934,0.9449541284403672,0.8780487804878049,0.0,0.8596491228070176,0.7628971643320805,0.6,0.8172675565573482,3,4484,113,133,19,63,3194,7,90,0.8197662497436949,0.9809523809523808,0.9557522123893806,0.0,0.9607843137254902,0.8394736842105263,1.0,0.8314742151852316,0.8916146297948261,0.9115044247787608,0.8120300751879699,0.0,0.7777777777777778,0.6991233562930494,0.42857142857142855,0.8104330462997629,20,22861.581812858574,8013,136.0,0.0,
313,0.8187188866031099,0.9600503928468598,0.8793184891407348,0.5,0.8966995948377253,0.8136215953306761,0.8571428571428572,0.8195776796482006,0.8515466124371186,0.9497716894977172,0.8416666666666667,0.0,0.8695652173913043,0.7741390952059418,0.8333333333333333,0.8200253308499134,3,4484,113,133,19,63,3193,7,84,0.8186869726281127,0.981132075471698,0.9439252336448598,0.0,0.9615384615384616,0.8396191871109484,1.0,0.8307393102084007,0.8871543264942016,0.9203539823008848,0.7593984962406015,0.0,0.7936507936507936,0.7181334168493579,0.7142857142857143,0.8151522715926109,6,25422.27152514457,8012,137.0,0.0,
314,0.8140977642334513,0.9468393477008854,0.9125614887291496,0.5,0.9046989958540036,0.81048401722479,0.7142857142857143,0.8160325603998002,0.8491750931346461,0.9395348837209304,0.8861788617886179,0.0,0.8869565217391304,0.7700371998647276,0.6,0.8175822255985464,5,4484,113,132,19,63,3193,7,87,0.8122581958867847,0.9901960784313726,0.9561403508771932,0.0,0.9807692307692308,0.8368246968026459,1.0,0.8264933406521268,0.889607493309545,0.8938053097345132,0.8257575757575758,0.0,0.8095238095238095,0.7131224553711243,0.42857142857142855,0.8151291973536388,4,24898.635332345963,8011,138.0,0.0,
315,0.8138740963430567,0.9422880026884732,0.9284445250181292,0.5,0.8983116980123286,0.8119036874363544,0.9166666666666669,0.8168083664642432,0.8477982043608381,0.925925925925926,0.9156626506024096,0.0,0.8717948717948717,0.7720242098184263,0.9090909090909092,0.8180500004896067,2,4484,113,133,19,64,3194,6,90,0.8140394088669951,0.9708737864077672,0.9827586206896552,0.0,0.9622641509433962,0.8336964415395788,1.0,0.8262797558608761,0.8844781445138269,0.8849557522123894,0.8571428571428571,0.0,0.796875,0.7188478396994364,0.8333333333333334,0.8151753400723823,9,29039.925068378452,8013,139.0,0.0,
316,0.8233132345917369,0.9601137080217246,0.928381097395182,0.5,0.898311713836478,0.803404960537444,0.7142857142857143,0.8187506947280953,0.8570820927264994,0.9541284403669724,0.912,0.0,0.8717948717948717,0.7603899435608004,0.6,0.8185910380748188,3,4484,113,133,20,64,3193,7,93,0.8191056910569106,0.9904761904761904,0.9743589743589745,0.0,0.9622641509433962,0.8376036171816127,1.0,0.8307258207055163,0.8987511150758252,0.9203539823008848,0.8571428571428571,0.0,0.796875,0.6962104603820858,0.42857142857142855,0.8142001497379586,7,29508.799373865128,8014,140.0,0.0,
317,0.8191609270858585,0.9467760725887756,0.9322039235143698,0.5,0.9046361185983828,0.8037108534878552,0.7142857142857143,0.8164641514715278,0.8523188715537509,0.9351851851851852,0.92,0.0,0.8793103448275862,0.7608472839084386,0.6,0.8160259172865003,1,4484,113,133,20,63,3193,7,97,0.8182191218711531,0.9805825242718448,0.9829059829059827,0.0,0.9622641509433962,0.8369034197670049,1.0,0.8299366185280102,0.8893844781445138,0.8938053097345132,0.8646616541353384,0.0,0.8095238095238095,0.6974632007516443,0.42857142857142855,0.8093098714588793,17,27724.007972717285,8013,141.0,0.0,
318,0.8210044054189335,0.9551672454017688,0.9049857311533921,0.5,0.8904991663520826,0.8109805415463316,0.6666666666666666,0.8199456245464063,0.8539061665063589,0.9400921658986174,0.8770491803278688,0.0,0.8620689655172413,0.7706141839158466,0.5,0.8200586920757402,5,4484,112,132,19,64,3194,6,77,0.8198235173404473,0.9714285714285714,0.9553571428571428,0.0,0.9615384615384616,0.8411111111111111,1.0,0.8319864118136386,0.8909455842997324,0.9107142857142856,0.8106060606060606,0.0,0.78125,0.711020663744521,0.3333333333333333,0.8147547122706279,10,23239.25235819817,8011,142.0,0.0,
